address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,Yahoo_ID,request_date,phone,fullTimeEmployees,beta,forwardPE,bid,sharesPercentSharesOut,priceToBook,forwardEps,recommendationMean,debtToEquity,returnOnEquity,fax,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,numberOfAnalystOpinions,lastSplitFactor,lastSplitDate,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,shortPercentOfFloat,pegRatio,earningsQuarterlyGrowth,earningsGrowth,trailingPE,dividendRate,dividendYield,exDividendDate,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,lastDividendValue,lastDividendDate,fiveYearAvgDividendYield
999 Canada Place,Suite 404,Vancouver,BC,V6C 3E1,Canada,https://delivrahealthbrands.com,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"Delivra Health Brands Inc. through its subsidiaries, provides lifestyle and wellness products to consumers and patients in regulated markets worldwide. The company is involved in selling of cannabis, liquid sleep shots, sleep powder packets, gummies, and pain relief creams. It offers its products under LivRelief, Dream Water, and LivRelief infused brand names. The company was formerly known as Harvest One Cannabis Inc. Delivra Health Brands Inc. is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Frank A. Holler MBA', 'age': 66, 'title': 'Independent Executive Chairman', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 120000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.03,0.035,0.03,0.035,0.03,0.035,0.03,0.035,64236,64236,145881,176760,176760,0.035,10941629,0.01,0.04,0.9325517,0.0264,0.020575,CAD,6630535,0.03605,178494723,312617984,4153,311,1703808000,1706659200,0.21274,,1.1,312617984,0.015,1688083200,1719705600,1696032000,423000,,0.565,9.146,0.20000005,0.25222528,VAN,EQUITY,DHB.V,DHB.V,DELIVRA HEALTH BRANDS INC,Delivra Health Brands Inc.,1490967000,America/Toronto,EST,2e6c984a-8b04-39e6-8220-fe4380025196,finmb_403088114,-18000000,0.035,buy,2925000,0.012,725000,1977000,1.182,1.544,11733000,0.046,-0.0317,306375,-1057000,1.123,0.49995998,0.06179,0.07355,CAD,,DHB.V,2024-02-21,604 449 9280,,1.305,Infinity,0.03,,2.3333335,,2,53.943,0.124960005,,0.07,0.07,0.07,0.07,1,,,,,,,,,,,,,Infinity,,,,,,,,,
The Canadian Venture Building,82 Richmond Street East,Toronto,ON,M5C 1P1,Canada,https://sintanaenergy.com,Oil & Gas E&P,oil-gas-e-p,Oil & Gas E&P,Energy,energy,Energy,"Sintana Energy Inc. engages in petroleum and natural gas exploration and development activities. It holds five onshore and offshore petroleum exploration licenses in Namibia, as well as in Colombia's Magdalena Basin. The company is based in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Keith Dean Spickelmier', 'age': 62, 'title': 'Executive Chairman', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 277568, 'exercisedValue': 20000, 'unexercisedValue': 0}",1672444800,86400,4,0.445,0.445,0.44,0.45,0.445,0.445,0.44,0.45,760659,760659,634538,834526,834526,0.45,121483560,0.12,0.52,,0.37385,0.311225,CAD,118054696,,210608445,276099008,714719,98632,1703808000,1706659200,0.19361,0.00568,0.71,276099008,0.053,1672444800,1703980800,1696032000,646396,0.01,,,2.56,0.25222528,VAN,EQUITY,SEI.V,SEI.V,SINTANA ENERGY INC,Sintana Energy Inc.,1234189800,America/Toronto,EST,2268b2d7-bf1e-3607-826a-34b3ee984d8b,finmb_137143969,-18000000,0.44,none,4809430,0.017,,,1.406,1.488,,,-0.11694,-3452437,-4642268,,,,,CAD,,SEI.V,2024-02-21,713 825 9591,,1.198,Infinity,0.435,0.0026,8.301887,,,,0.04916,,1.25,1.25,1.25,1.25,1,1:15,1398902400,,,,,,,,,,,44,,,,,,,,,
550 Burrard Street,Suite 2900,Vancouver,BC,V6C OA3,Canada,https://wildpackbev.com,Specialty Business Services,specialty-business-services,Specialty Business Services,Industrials,industrials,Industrials,"Wildpack Beverage Inc. engages in filling, decorating, and brokering of aluminum cans in Canada and the United States. The company operates through Filling, Decorating, Brokering, and Corporate segments. The company offers can sleeving and labelling; beverage co-packing; can packaging products, such as brite cans, can ends, printed cans, paktech carriers, and case trays; and private label packaging services. It is also involved in brokering of packaging materials, and printing labels and sleeves; and provision of graphic design, warehousing, packaging engineering support, logistics, and material selection consultation services. The company was formerly known as Ponderous Panda Capital Corporation and changed its name to Wildpack Beverage Inc. The company is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Mitchell  Barnard', 'title': 'CEO & Director', 'fiscalYear': 2022, 'totalPay': 669942, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,5000,5000,25814,4800,4800,0.09,8515640,0.04,0.35,0.16272028,0.0676,0.1057,CAD,68223624,-0.67598,42005051,100184000,10165,11982,1703808000,1706659200,0.38368,0.059499998,0.13,100184000,-0.134,1672444800,1703980800,1696032000,-35376000,-0.44,1.304,-4.042,-0.14999998,0.25222528,VAN,EQUITY,CANS.V,CANS.V,WILDPACK BEVERAGE INC,Wildpack Beverage Inc.,1621517400,America/Toronto,EST,4340ed88-2b1b-32d5-8b56-b638a4f39d70,finmb_641020075,-18000000,0.085,buy,1075000,0.011,-16878000,60783000,0.547,0.862,52333000,0.475,-0.18566,-13399625,-14956000,0.808,0.0836,-0.32251,-0.22983,USD,,CANS.V,2024-02-21,833-999-7225,,0.553,-1.0625,0.07,0.0001,,-0.08,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207 90B Street SW,,Edmonton,AB,T6X 1V8,Canada,https://www.auroramj.com,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"Aurora Cannabis Inc., together with its subsidiaries, produces, distributes, and sells cannabis and cannabis-derivative products in Canada and internationally. It operates through three segments: Canadian Cannabis, European Cannabis, and Plant Propagation. The company produces, distributes, and sells medical and consumer cannabis products in Canada. It is also involved in the distribution of wholesale medical cannabis in the European Union (EU); distribution of wholesale medical cannabis in various international markets, including Australia, the Caribbean, South America, and Israel; supply of propagated vegetables and ornamental plants in North America; and distribution and sale of hemp-derived cannabidiol (CBD) products. In addition, the company cultivates and sells dried cannabis, cannabis oils, capsules, edible cannabis, cannabis extracts, and soft gels, which are ingested in various ways, including smoking, vaporizing, and consumption in the form of oil, capsules, edibles, and extracts; and provides dried flowers, vapes, dried milled strains, strain-specific extracts, strain specific cannabis oils, and concentrates. Further, it offers recreational cannabis products, such as flowers, vapes, ingestibles, concentrates, extracts, and CBD products; and patient counseling and outreach services. The company's adult-use brand portfolio includes Aurora Drift, San Rafael '71, Daily Special, Whistler, Being, and Greybeard, as well as CBD brands, Reliva and KG7; and medical cannabis brands include MedReleaf, CanniMed, Aurora, Whistler Medical Marijuana Co, Pedanios, Bidiol, and CraftPlant. Aurora Cannabis Inc. is headquartered in Edmonton, Canada.","{'maxAge': 1, 'name': 'Mr. Miguel  Martin', 'age': 50, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 2018399, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,5.2,4.89,4.61,5.08,5.2,4.89,4.61,5.08,752423,752423,115897,122331,122331,4.68,2590621440,4.61,15.5,9.390236,5.923,6.961,CAD,280133760,1.5170599,54394847,545393984,852986,751267,1703808000,1706659200,,,8.78,545393984,10.852,1680220800,1711843200,1703980800,410717728,-79.2,1.015,-8.406,-0.56666666,0.25222528,TOR,EQUITY,ACB.TO,ACB.TO,AURORA CANNABIS INC,Aurora Cannabis Inc.,1194273000,America/Toronto,EST,62ccd75e-90fe-3444-b8f7-e4718b65f20a,finmb_272485300,-18000000,4.75,hold,148551008,2.724,-33326636,103340000,1.787,3.786,275884608,6.784,,,-83362960,0.055,0.30913,-0.120799996,-0.24066,CAD,,ACB.TO,2024-02-21,,1130,2.858,-95,4.65,0.0018,0.43770733,-0.05,2.8,18.513,,,1.25,0.61,0.84,0.8,6,1:10,1708387200,10,5,9,7,7,1706745600,,,,,,,,,,,,,,
421 - 7th Ave S.W.,30th Floor,Calgary,AB,T2P 4K9,Canada,https://www.sourcerockroyalties.com,Oil & Gas Midstream,oil-gas-midstream,Oil & Gas Midstream,Energy,energy,Energy,"Source Rock Royalties Ltd. engages in the acquiring and managing of oil and gas royalties and mineral title interests. The company has a light oil focused portfolio of royalty interests concentrated in S.E. Saskatchewan, east-central Alberta, west-central Alberta, and west-central Saskatchewan. Source Rock Royalties Ltd. was incorporated in 2012 and is headquartered in Calgary, Canada.","{'maxAge': 1, 'name': 'Mr. Bradley Rober Docherty', 'age': 42, 'title': 'Founder, Chairman, CEO & President', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 260000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.83,0.83,0.84,0.83,0.83,0.83,0.84,43500,43500,52958,51423,51423,0.84,37797144,0.7,0.89,5.877808,0.818,0.81485,CAD,28927082,0.27111,31620492,44996600,10428,2062,1703808000,1706659200,0.088369995,0.2341,0.12,44996600,0.6,1672444800,1703980800,1696032000,1743390,0.04,4.498,5.884,0.15277779,0.25222528,VAN,EQUITY,SRR.V,SRR.V,SOURCE ROCK ROYALTIES LTD,Source Rock Royalties Ltd.,1646231400,America/Toronto,EST,e103d186-470a-352b-af5b-a7429477217f,finmb_INDEXSRR.V,-18000000,0.84,none,8420133,0.187,4916021,,21.259,21.348,6430483,0.143,0.04459,-5470810,4277336,0.298,1,0.76448995,0.32265,CAD,,SRR.V,2024-02-21,403-472-5767,,,,0.83,0.0002,1.3999999,,,,0.06413,,,,,,,,,,,,,,,,,0.186,0.105,21,0.07,0.0867,1709078400,1.8158001,0.063,0.07590362,0.006,1709078400,
744 West Hastings Street,Unit 505,Vancouver,BC,V6C 1A5,Canada,https://www.rubiconorganics.com,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"Rubicon Organics Inc. produces and sells organic cannabis for the recreational and medical-use markets in Canada. The company processes and sells organic cannabis under its wholly owned and other licensed brands. Rubicon Organics Inc. was incorporated in 2015 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Melanie  Ramsey', 'title': 'Chief Commercial Officer', 'fiscalYear': 2022, 'totalPay': 399344, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.445,0.44,0.44,0.445,0.445,0.44,0.44,0.445,6500,6500,13400,7910,7910,0.45,25005306,0.33,0.75,0.6081728,0.4732,0.4759,CAD,25407722,-0.13354,31569599,56191700,983,42941,1703808000,1706659200,0.55871,0.013259999,0.56,56191700,0.658,1672444800,1703980800,1696032000,-5490364,-0.1,0.618,-14.296,-0.38356167,0.25222528,VAN,EQUITY,ROMJ.V,ROMJ.V,RUBICON ORGANICS INC,Rubicon Organics Inc.,1539178200,America/Toronto,EST,7191b3f7-77ca-36f3-aee1-e4be2bbb10ac,finmb_568972801,-18000000,0.445,buy,10362916,0.184,-1777292,10765349,1.859,3.479,41115464,0.729,-0.05242,4550239,6790936,-0.048,0.273,-0.04323,-0.15015,CAD,,ROMJ.V,2024-02-21,604-288-5566,165,1.297,-11.125,0.43,,0.67629176,-0.04,2,29.139,-0.14147,,1.4,1.4,1.4,1.4,1,,,,,,,,,,,,,,,,,,,,,,
8 King Street East,Suite 1800,Toronto,ON,M5C 1B5,Canada,https://www.aurania.com,Other Precious Metals & Mining,other-precious-metals-mining,Other Precious Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Aurania Resources Ltd., a junior exploration mining company, engages in the identification, evaluation, acquisition, and exploration of mineral properties in Ecuador and Peru. The company explores for gold, silver, copper, and other precious metal deposits. Its flagship project is the 100% owned Lost Cities Â– Cutucu project comprises 42 mineral exploration concessions covering an area of approximately 207,764 hectares located in southeastern Ecuador. The company was formerly known as Urania Resources Ltd. and changed its name to Aurania Resources Ltd. in March 2012. Aurania Resources Ltd. was founded in 2001 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Dr. Keith Michael Barron Ph.D.', 'age': 61, 'title': 'Executive Chairman, President & CEO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 7500, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.24,0.26,0.24,0.26,0.24,0.26,0.24,0.26,58670,58670,27632,8810,8810,0.25,16193207,0.2,0.71,,0.2637,0.31895,CAD,25540900,,37838825,67471696,4489,51003,1703808000,1706659200,0.4305,,0.29,67471696,-0.145,1672444800,1703980800,1696032000,-11088470,-0.17,,-2.819,-0.63076925,0.25222528,VAN,EQUITY,ARU.V,ARU.V,AURANIA RESOURCES LTD,Aurania Resources Ltd.,1531229400,America/Toronto,EST,9bf7e504-ef1b-3944-9652-ac9bd02a238e,finmb_127660502,-18000000,0.24,buy,204264,0.003,-9059584,9551947,0.338,0.401,,,-6.98286,-5378665,-8550199,,,,,CAD,,ARU.V,2024-02-21,416 367 3200,,1.562,-4,0.24,0.0001,,-0.06,2,,,,0.65,0.65,0.65,0.65,1,,,,,,,,,,,,,,,,,,,,,,
700 West Pender Street,Suite 203,Vancouver,BC,V6C 1G8,Canada,https://gigametals.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Giga Metals Corporation engages in the acquisition, exploration, and development of mineral properties in Canada. The company explores for nickel and cobalt sulphide deposits. It holds 100% interests in the Turnagain property with 75 contiguous mineral claims covering an area of approximately 40,069 hectares located in the Liard mining division of northern British Columbia. The company was formerly known as Hard Creek Nickel Corporation and changed its name to Giga Metals Corporation in August 2017. Giga Metals Corporation was incorporated in 1983 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Mark  Jarvis', 'age': 68, 'title': 'CEO & Chairman of the Board', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 96000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.155,0.155,0.14,0.155,0.155,0.155,0.14,0.155,52254,52254,49575,53570,53570,0.15,14685615,0.14,0.32,,0.1828,0.2252,CAD,16212789,,91737147,97904096,25000,1094445,1703808000,1706659200,0.06293,0.01129,0.39,97904096,0.198,1672444800,1703980800,1696032000,-2239475,-0.03,,-7.156,-0.4285714,0.25222528,VAN,EQUITY,GIGA.V,GIGA.V,GIGA METALS CORPORATION,Giga Metals Corporation,839511000,America/Toronto,EST,ffce97cd-06b9-3751-b5aa-8e6ca8fae818,finmb_3103536,-18000000,0.15,buy,2441362,0.025,-2265566,164347,4.637,4.837,,,-0.0616,-1248076,-1459434,,,,,CAD,,GIGA.V,2024-02-21,604-681-2300,,1.045,,0.145,0.0003,0.7575758,,2,0.725,-0.097200006,,,,,,,1:02,1503878400,,,,,,,0.0003,,,,,,,,,,,,,
2611 Queensview Drive,Suite 125,Ottawa,ON,K2B 8K2,Canada,https://www.leonovus.com,Software - Application,software-application,Software - Application,Technology,technology,Technology,"Leonovus Inc. operates as a data management software company. Its tools offer data-centric solutions to customers. The company is based in Ottawa, Canada.","{'maxAge': 1, 'name': 'Mr. Michael J. Gaffney B.Sc., CHRP, M.B.A.', 'age': 69, 'title': 'Chairman & CEO', 'yearBorn': 1954, 'fiscalYear': 2021, 'totalPay': 145094, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2000,2000,12159,,,0.045,836040,0.02,0.08,Infinity,0.0466,0.03225,CAD,919039,,19432283,20901000,14968,21000,1703808000,1706659200,0.06609,,0.06,20901000,-0.063,1672444800,1703980800,1696032000,-1300000,-0.06,,-1.28,,0.25222528,VAN,EQUITY,LTV.V,LTV.V,LEONOVUS INC,Leonovus Inc.,1288963800,America/Toronto,EST,8d661dfd-d821-39ed-a988-f89c031b53ef,finmb_72957626,-18000000,0.04,none,4000,,-718000,87000,0.058,0.058,,,-0.69755,153750,350000,,,,,CAD,,LTV.V,2024-02-21,,,0.931,,0.045,,,,,,,,,,,,,1:30,1603670400,,,,,,,,,,,,,,,,,,,,
1199 West Hastings Street,Suite 1100,Vancouver,BC,V6E 3T5,Canada,https://www.novoresources.com,Gold,gold,Gold,Basic Materials,basic-materials,Basic Materials,"Novo Resources Corp., together with its subsidiaries, engages in evaluating, acquiring, exploring, and developing natural resource properties in Canada and Australia, and the United States. The company primarily explores for gold deposits. Its flagship property is the Beatons Creek property located in the Pilbara region of Western Australia. It also holds interest in Nullagine Gold Project located in the Pilbara region of Western Australia. The company was formerly known as Galliard Resources Corp. and changed its name to Novo Resources Corp. in June 2011. Novo Resources Corp. was incorporated in 2009 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Michael John Spreadborough MBA', 'title': 'Executive Co-Chairman & Acting CEO', 'fiscalYear': 2022, 'totalPay': 520326, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.14,0.135,0.135,0.14,0.14,0.135,0.135,0.14,35540,35540,150754,89500,89500,0.145,47377576,0.11,0.43,18.981401,0.1554,0.19124,CAD,33112364,,304061318,350944992,151510,169360,1703808000,1706659200,0.11153,0.00324,2.63,350944992,0.478,1672444800,1703980800,1696032000,-51488000,-0.18,13.266,-0.657,-0.5483871,0.25222528,TOR,EQUITY,NVO.TO,NVO.TO,NOVO RESOURCES CORP,Novo Resources Corp.,1276608600,America/Toronto,EST,ffd1630f-d9bf-3548-aaf8-ab677742fd5b,finmb_99150213,-18000000,0.135,buy,16544000,0.048,-50377000,1784000,3.029,3.322,2496000,0.009,-0.26268998,-25800750,-59117000,,,,-40.13942,CAD,,NVO.TO,2024-02-21,416-543-3120,75,1.615,,0.135,0.0004,0.2824268,,2,1.091,-0.28801,,3.25,3.25,3.25,3.25,1,,,,,,,,,,,,,,,,,,,,,,
1030 West Georgia Street,Suite 710,Vancouver,BC,V6E 2Y3,Canada,https://www.americanlithiumcorp.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"American Lithium Corp., an exploration and development stage company, engages in the acquisition, exploration, and development of resource properties in the United States. It principally focuses on the TLC Lithium Project located in the town of Tonopah, Nevada; and the Falchani Lithium project and the Macusani Uranium project located in Puno, Peru. The company was formerly known as Menika Mining Ltd. and changed its name to American Lithium Corp. in April 2016. American Lithium Corp. was incorporated in 1974 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Simon Patrick Clarke', 'age': 57, 'title': 'CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 335000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.04,1.07,1.01,1.07,1.04,1.07,1.01,1.07,237159,237159,228526,327790,327790,1.05,221095680,0.94,4.31,,1.3804,1.97085,CAD,202155184,,204300818,214656000,487258,605882,1703808000,1706659200,0.051810004,0.077800006,1.94,214656000,0.805,1677542400,1709078400,1701302400,-43082220,-0.2,,-4.677,-0.75757575,0.25222528,VAN,EQUITY,LI.V,LI.V,AMERICAN LITHIUM CORP,American Lithium Corp.,839511000,America/Toronto,EST,7c7bcbd7-ea73-3f90-b467-40155d93f46e,finmb_3169954,-18000000,1.03,strong_buy,21257922,0.099,-43220216,171061,9.905,10.733,,,-0.14956,8327637,-26054432,,,,,CAD,,LI.V,2024-02-21,604 428 6128,,2.269,-6.8666663,1.01,0.0023,1.2795031,-0.15,1.5,0.099,-0.24317,,10.8,4.25,6.39,5.25,4,2:01,1525132800,,,,,,,,,,,,,,,,,,9.6,1286841600,
1040 West Georgia Street,Ste. 1120,Vancouver,BC,,Canada,https://www.frx-innovations.com,Specialty Chemicals,specialty-chemicals,Specialty Chemicals,Basic Materials,basic-materials,Basic Materials,"FRX Innovations Inc. manufactures and sells flame-retardant polyphosphate polymers in Asia, Europe, and internationally. The company's products including homopolymers used in carpets, textiles, connectors, wires and cables, transparent sheet products, and transparent blown films; Co-polymers used in housings, sheets, fibers, and lightings; and reactive oligomers used in decorative laminates, wall panels, copper clad laminates for printed circuit boards, and protective sheets and coatings. It serves building and construction, fiber, textiles, electrical, electronics, and transportation sectors. The company was formerly known as FRX Polymers Inc. and changed its name to FRX Innovations Inc. in May 2022. FRX Innovations Inc. is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Marc-Andre  Lebel P.Eng.', 'title': 'CEO, President, Observer & Director', 'fiscalYear': 2021, 'totalPay': 375631, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,50000,50000,41544,37300,37300,0.055,5470173,0.03,0.4,1.7939123,0.0529,0.133975,CAD,17758034,-2.63867,65657968,99457696,254,2754,1703808000,1706659200,0.26188,0.01053,0.01,99457696,0.045,1672444800,1703980800,1696032000,-8046091,0.01,5.824,-3.938,-0.82258064,0.25222528,VAN,EQUITY,FRXI.V,FRXI.V,FRX INNOVATIONS INC,FRX Innovations Inc.,1653399000,America/Toronto,EST,ac7321db-acb3-3409-9e19-c93e7108995b,finmb_61539229,-18000000,0.055,buy,117753,0.001,-4509546,12944905,0.031,0.198,3049298,0.029,-0.17031999,-1018576,-5103381,0.584,0.57399,-1.47888,-3.15807,USD,,FRXI.V,2024-02-21,978-244-9500,,,-5.5,0.05,,1.2222222,-0.01,2,332.255,-2.1062,978-250-4533,0.74,0.74,0.74,0.74,1,,,,,,,,,,,,,5.5,,,,,,,,,
