address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,Yahoo_ID,request_date,phone,fullTimeEmployees,beta,forwardPE,bid,sharesPercentSharesOut,priceToBook,forwardEps,recommendationMean,debtToEquity,returnOnEquity,fax,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,numberOfAnalystOpinions,lastSplitFactor,lastSplitDate,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,shortPercentOfFloat,pegRatio,earningsQuarterlyGrowth,earningsGrowth,trailingPE,dividendRate,dividendYield,exDividendDate,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,lastDividendValue,lastDividendDate,fiveYearAvgDividendYield
789 West Pender Street,Suite 855,Vancouver,BC,V6C 1H2,Canada,https://hivedigitaltechnologies.com,Capital Markets,capital-markets,Capital Markets,Financial Services,financial-services,Financial Services,"HIVE Digital Technologies Ltd. operates as a cryptocurrency mining company in Canada, Sweden, and Iceland. The company engages in the mining and sale of digital currencies, including Ethereum Classic, Bitcoin, and other coins. It also operates data centers; and offers infrastructure solutions. The company was formerly known as HIVE Blockchain Technologies Ltd. and changed its name to HIVE Digital Technologies Ltd. in July 2023. HIVE Digital Technologies Ltd. was incorporated in 1987 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Frank Edward Holmes', 'age': 68, 'title': 'Executive Chairman', 'yearBorn': 1955, 'fiscalYear': 2023, 'totalPay': 225921, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,5.94,6,5.42,6.05,5.94,6,5.42,6.05,1168073,1168073,957949,1091320,1091320,5.76,531201376,3.05,8.96,5.5444818,5.1224,4.9679,CAD,605261952,-0.42826,100125820,92543800,5059521,3807012,1703808000,1706659200,0.00251,0.21662001,2.91,92543800,1.946,1680220800,1711843200,1703980800,-41030300,-0.61,6.317,19.075,0.45945942,0.25222528,VAN,EQUITY,HIVE.V,HIVE.V,HIVE DIGITAL TECHNOLOGIES LTD,HIVE Digital Technologies Ltd.,1505827800,America/Toronto,EST,10872c19-43a9-3fe1-95a4-fd529dcaf6ef,finmb_3175641,-18000000,5.74,buy,24724000,0.246,31731424,32874000,0.902,3.511,95807216,1.121,-0.07277,-38226996,31243534,1.183,0.29149,0.3312,-0.101689994,USD,,HIVE.V,2024-02-21,604-664-1078,18,4.345,-6.8333335,5.76,0.025899999,2.9496403,-0.84,2.5,18.258,-0.2557,,8.96,4.72,6.83,6.83,2,1:05,1653350400,,,,,,,,,,,,,,,,,,,,
PO Box 48326 Bentall,,Vancouver,BC,V7X 1A1,Canada,https://www.reconafrica.com,Oil & Gas E&P,oil-gas-e-p,Oil & Gas E&P,Energy,energy,Energy,"Reconnaissance Energy Africa Ltd., a junior oil and gas company, engages in exploration and development of oil and gas potential in Namibia and Botswana. It holds a 90% interest in a petroleum exploration license that covers an area of approximately 25,341.33 kilometer square located in Namibia; and 100% working interest in a petroleum license, which covers an area of 8,990 square kilometer square located in northwestern Botswana. Reconnaissance Energy Africa Ltd. is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Craig Arthur-Allan Steinke CPA', 'age': 66, 'title': 'Executive Chairman', 'yearBorn': 1957, 'fiscalYear': 2023, 'totalPay': 781320, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,1.16,1.14,1.1,1.14,1.16,1.14,1.1,1.14,58953,58953,88414,101050,101050,1.12,234030176,0.83,2.38,47.123848,1.091,1.1884,CAD,243440688,,203152939,210838000,557843,623017,1703808000,1706659200,0.03277,0.0003,8.94,210838000,0.308,1680220800,1711843200,1696032000,-55255984,-0.19,49.019,,-0.46046513,0.25222528,VAN,EQUITY,RECO.V,RECO.V,RECONNAISSANCE ENERGY AFRICA LT,Reconnaissance Energy Africa Ltd.,1065706200,America/Toronto,EST,8cb9b1cc-7207-3c39-8a6b-bef239a93626,finmb_590602429,-18000000,1.11,none,1131375,0.005,,,0.063,0.482,4966279,0.025,,,-14474743,,0.27773002,,-6.20688,CAD,,RECO.V,2024-02-21,,,1.409,,1.11,0.0026,3.6038961,,,,,,,,,,,1:02,1567728000,,,,,,,,,,,,,,,,,,,,
2265 Upper Middle Road East,Suite 602,Oakville,ON,L6H 0G5,Canada,https://www.cardiolrx.com,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"Cardiol Therapeutics Inc., a clinical-stage life sciences company, focuses on the research and development of anti-fibrotic and anti-inflammatory therapies for the treatment of cardiovascular disease (CVD). Its lead product CardiolRx, which is in Phase II/III multi-national, randomized, double-blind, and placebo-controlled study to evaluate the efficacy and safety of CardiolRx for patients hospitalized with COVID-19, as well as for the treatment of recurrent pericarditis and acute myocarditis. The company is also developing subcutaneous formulation of CardiolRx for the treatment of fibrosis and inflammation in the heart that is related with the development and progression of heart failure. Cardiol Therapeutics Inc. was incorporated in 2017 and is headquartered in Oakville, Canada.","{'maxAge': 1, 'name': 'Mr. David G. Elsley MBA', 'title': 'President, CEO & Director', 'fiscalYear': 2022, 'totalPay': 653800, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,1.94,1.99,1.98,2.3,1.94,1.99,1.98,2.3,428051,428051,81968,176140,176140,2.27,146506272,0.61,2.3,,1.397,1.20915,CAD,85962128,,62101124,65113900,309133,105853,1703808000,1706659200,0.04131,0.137,3.7,65113900,0.538,1672444800,1703980800,1696032000,-28006292,-0.43,,-2.801,1.6575344,0.25222528,TOR,EQUITY,CRDL.TO,CRDL.TO,CARDIOL THERAPEUTICS INC,Cardiol Therapeutics Inc.,1545316200,America/Toronto,EST,1dc5c237-dd3d-3dc4-8f8e-726c31d32c25,finmb_424954803,-18000000,2.25,buy,40540136,0.623,-30690260,181206,5.085,5.286,,,-0.34614,-16223832,-31261212,,,,,CAD,,CRDL.TO,2024-02-21,289 910 0850,,0.748,-4.787234,2.25,0.0047,4.182156,-0.47,2,0.52,-0.59876,,4.5,3.6,4.05,4.05,2,,,2,4,10,2,9,1706745600,0.005,,,,,,,,,,,,,
100-2 Toronto Street,,Toronto,ON,M5C 2B5,Canada,https://www.analytixinsight.com,Software - Application,software-application,Software - Application,Technology,technology,Technology,"AnalytixInsight Inc. operates as a data analytics and enterprise software solutions provider to worldwide institutions across various industries. It develops and markets cloud-based platforms, providing financial content, stock trading, and research solutions for banks, brokers, and investors in the financial services industry. The company holds a 49% interest in Marketwall SRL, a developer of FinTech solutions for financial institutions. In addition, it offers financial research and content for investors, information providers, finance portals, and media through its online portals and Connect platform; and system integration services for the workforce management industry. AnalytixInsight Inc. was incorporated in 1999 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Paul Sandor Bozoki CA, MBA', 'age': 51, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 63543, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.065,0.065,0.065,0.07,0.065,0.065,0.065,0.07,50000,50000,92722,37200,37200,0.07,6805169,0.06,0.31,13.115541,0.0897,0.13555,CAD,4286265,,90097559,97216704,81500,601,1703808000,1706659200,0.07106,,0.13,97216704,0.05,1672444800,1703980800,1696032000,-3716477,-0.04,8.261,-0.871,-0.76785713,0.25222528,VAN,EQUITY,ALY.V,ALY.V,ANALYTIXINSIGHT INC,AnalytixInsight Inc.,950884200,America/Toronto,EST,bda7eaf6-5eee-369a-a55c-4d42eebaafc0,finmb_3173969,-18000000,0.07,hold,2054227,0.021,-4921424,21404,2.925,3.088,518863,0.005,-0.43772998,-1350919,-3141209,-0.899,-1.33429,,-12.634991,CAD,,ALY.V,2024-02-21,,,1.754,,0.065,0.0001,1.4,,3,0.444,-0.57322,,4,4,4,4,1,1:03,1373500800,,,,,,,,,,,,,,,,,,,,
155 Wellington Street West,Suite 3140,Toronto,ON,M5V 3H1,Canada,https://www.stackcapitalgroup.com,Asset Management,asset-management,Asset Management,Financial Services,financial-services,Financial Services,"Stack Capital Group Inc. operates as an investment holding company. It invests in equity, debt, and/or other securities of growth-to-late-stage private businesses. The company was incorporated in 2021 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Jeffrey  Parks C.F.A.', 'title': 'CEO & Non-Independent Director', 'fiscalYear': 2022, 'totalPay': 118750, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.69,8.78,8.64,8.84,8.69,8.78,8.64,8.84,626,626,4493,3000,3000,8.68,77966712,5.58,9.38,36.88387,8.5338,7.43115,CAD,-22565116,,8171432,8982340,3620,1325,1703808000,1706659200,0.02485,0.17748,0.15,9330980,11.17,1672444800,1703980800,1696032000,-6491191,-0.71,-10.675,,0.35781252,0.25222528,TOR,EQUITY,STCK.TO,STCK.TO,STACK CAPITAL GROUP INC,Stack Capital Group Inc.,1623850200,America/Toronto,EST,8d203164-7e50-33f3-8f80-fc4d82ec2925,finmb_714617743,-18000000,8.68,strong_buy,100798968,11.196,,,205.693,206.211,2113843,0.232,-0.0059,-504801,-16049839,,1,,0.0696,CAD,,STCK.TO,2024-02-21,,,0.385,,8.37,0.0001,0.7770815,,1,,-0.062119998,,10,10,10,10,1,,,,,,,,,,,7.765,10.001,,,,,,,,,,
200 Burrard Street,Suite 1570,Vancouver,BC,V6C 3L6,Canada,https://bzam.com,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"BZAM Ltd. operates as a cannabis producer with a focus on branded consumer goods. Its brands include the BZAM, TGOD, ness, Highly Dutch Organic, and TABLE TOP, as well as Dunn Cannabis, FRESH, and Wyld partner brands. The company operate facilities in British Columbia, Alberta, Ontario, and Quebec, as well as retail stores in Winnipeg, Manitoba and Regina, Saskatchewan. The company was formerly known as The Green Organic Dutchman Holdings Ltd. and changed its name to BZAM Ltd. in February 2023. The company was incorporated in 2016 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Matt  Milich', 'title': 'Chief Executive Officer', 'fiscalYear': 2022, 'totalPay': 592125, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.1,0.11,0.095,0.11,0.1,0.11,0.095,0.11,84857,84857,79737,118835,118835,0.105,27081902,0.09,0.51,0.33167064,0.1251,0.1653,CAD,65436896,-1.2924899,50437638,270819008,49861,64777,1702598400,1705276800,1.13761,0.00018,0.67,270819008,0.461,1672444800,1703980800,1696032000,-105536000,-0.96,0.801,-1.388,-0.7368421,0.25222528,CNQ,EQUITY,BZAM.CN,BZAM.CN,BZAMLtd,BZAM Ltd.,1525267800,America/Toronto,EST,0ef9f4f3-1aa9-3054-9ac9-6b9969eaba08,finmb_410936952,-18000000,0.1,strong_buy,4982000,0.028,-47161000,50165000,0.199,1.019,81653000,0.524,-0.18246001,-44730000,-7584000,1.121,0.33508998,-0.57758,-0.54787,CAD,,BZAM.CN,2024-02-21,,,2.334,-1.111111,0.095,0.0002,0.21691975,-0.09,1,58.704,-1.15074,,0.65,0.65,0.65,0.65,1,1:10,1667865600,,,,,,,,,,,,,,,,,,,,
77 King Street West,Suite 700 TD North Tower,Toronto,ON,M5K1G8,Canada,https://www.humbleandfume.com,Tobacco,tobacco,Tobacco,Consumer Defensive,consumer-defensive,Consumer Defensive,"Humble & Fume Inc. engages in the wholesale of cannabis related products and accessories in Canada and the United States. The company offers cannabis extracts under the Fume brand name; various products, including wood-crafted smoking accessories under the Elevate brand; grinders, glass pipes, rigs, silicone, quartz bangers, and other cannabis accessories under the Piranha brand; and cannabis-infused goods. It serves retailers, Canadian licensed producers, American multi-state operators, and cannabis customers. Humble & Fume Inc. was founded in 1998 and is based in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Jakob  Ripshtein CPA', 'age': 54, 'title': 'CEO & Chairman', 'yearBorn': 1969, 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.005,,0.005,0.005,0.005,,0.005,0.005,,,2082,,,0.01,620940,0.005,0.15,0.009063098,0.005,0.0203,CAD,7230940,-0.27052,55985219,124188000,465,465,1702598400,1705276800,0.53765,,0.08,124188000,0.094,1688083200,1719705600,1688083200,-18534000,-0.15,0.106,-0.315,-0.9285714,0.25222528,CNQ,EQUITY,HMBL.CN,HMBL.CN,Humble&Fume,Humble & Fume Inc.,1623936600,America/Toronto,EST,6eaebdff-046c-30b6-90c2-bd478f8dfb04,finmb_612207741,-18000000,0.005,none,2837000,0.023,-22925000,5789000,0.904,2.708,68513000,0.552,-0.45138,-9993125,-18244000,-0.042,0.14850001,-0.33461,-0.53271997,CAD,,HMBL.CN,2024-02-21,877-438-4367,140,-0.938,,,,0.05319149,,,37.832,-1.1953701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595 Howe Street,Suite 206,Vancouver,BC,V6C 2T5,Canada,https://www.vsblty.net,Software - Application,software-application,Software - Application,Technology,technology,Technology,"VSBLTY Groupe Technologies Corp., a retail technology company, operates as a software provider of artificial intelligence security and retail analytics technology solutions. The company's software modules include DataCaptor, a software module that leverages camera and sensor technology with artificial intelligence to provide real time analytics and audience measurement; VisionCaptor, a content management system; and VSBLTY Vector, a software module that interfaces with a local or remote database to detect persons or objects of interest within a camera's field of view. It also provides retail hardware solutions. VSBLTY Groupe Technologies Corp. was incorporated in 2015 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Luiz Felipe Costa Romero de Barros', 'title': 'Executive Chairman', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.12,0.115,0.115,0.12,0.12,0.115,0.115,0.12,22754,22754,81393,82510,82510,0.125,4523525,0.075,1.9,11.04716,0.1094,0.5141,CAD,4639081,,33032399,39335000,22437,4301,1702598400,1705276800,0.03757,,0.19,39335000,-0.046,1672444800,1703980800,1696032000,-11308726,-0.67,11.329,-0.456,-0.92941177,0.25222528,CNQ,EQUITY,VSBY.CN,VSBY.CN,VSBLTYGrpeTech,VSBLTY Groupe Technologies Corp.,1551277800,America/Toronto,EST,8776cbcd-7b2a-36c8-a663-252ee7ce329e,finmb_588889431,-18000000,0.115,buy,125414,0.004,-10173436,580001,0.13,0.267,409474,0.016,-1.1805301,-1631073,-5322582,-0.805,-1.69168,,-17.5123,USD,,VSBY.CN,2024-02-21,,,0.153,-2.875,0.12,0.0006,,-0.04,2,,-4.79039,,0.85,0.85,0.85,0.85,1,1:10,1698969600,,,,,,,,,,,,,,,,,,,,
700 West Georgia Street,Suite 2500,Vancouver,BC,V7Y 1B3,Canada,https://www.mexicangold.ca,Other Precious Metals & Mining,other-precious-metals-mining,Other Precious Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Mexican Gold Mining Corp., a mineral exploration company, engages in the acquisition, exploration, and evaluation of resource properties in Mexico. The company primarily explores for gold and copper deposits. It holds a 100% interest in the Las Minas project that consists of six mineral concessions located in the Las Minas district in the state of Veracruz, Mexico. Mexican Gold Mining Corp. was incorporated in 2006 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Jack  Campbell', 'title': 'CEO, President & Director', 'fiscalYear': 2023, 'totalPay': 60000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,5400,5400,5996,8130,8130,0.075,1274058,0.06,0.2,,0.074,0.0793,CAD,786238,,20504668,21234300,7646,2011,1703808000,1706659200,0.034360003,,0.76,21234300,0.022,1688083200,1719705600,1696032000,-514600,-0.03,,,-0.7,0.25222528,VAN,EQUITY,MEX.V,MEX.V,MEXICAN GOLD MINING CORP,Mexican Gold Mining Corp.,1216906200,America/Toronto,EST,dcd3de3d-49a1-343b-98f6-6fa829212278,finmb_38610349,-18000000,0.06,buy,487818,0.023,,,4.995,5.545,,,-0.86617994,-310794,-499704,,,,,CAD,,MEX.V,2024-02-21,604-558-6300,,1.223,,0.06,0.0002,2.7272727,,2,,-1.84401,,,,,,,1:10,1678838400,,,,,,,,,,,,,,,,,,,,
1 Adelaide Street East,Suite 801,Toronto,ON,M5C 2V9,Canada,https://redlight.co,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"Red Light Holland Corp. engages in the production, cultivation, and sale of functional mushrooms and mushroom home grow kits to the recreational market in the Netherlands. It is also involved in the selection, distribution, and export of truffles, cannabidiol products, cannabis seeds, headshop products, cannabis bake house muffins, cookies, and cakes. The company sells its products under the iMicrodose, Maka, Happy Caps, and Mistercap's brands through brick-and-mortar SmartShops, as well as through online stores. Red Light Holland Corp. is based in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Todd Michael Shapiro', 'age': 48, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 2007622, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,55039,55039,296753,433004,433004,0.06,21726926,0.05,0.165,4.709776,0.0589,0.0704125,CAD,7339218,-1.20824,366813774,395035008,76027,68951,1702598400,1705276800,0.0575,0.00143,0.21,395035008,0.062,1680220800,1711843200,1696032000,-5573810,-0.01,1.591,-1.478,-0.62068963,0.25222528,CNQ,EQUITY,TRIP.CN,TRIP.CN,RedLightHolland,Red Light Holland Corp.,1590672600,America/Toronto,EST,470a1097-9bfb-37e8-a680-c269f3bedf94,finmb_876304,-18000000,0.055,hold,16372142,0.041,-4964832,1748424,6.295,7.381,4613155,0.012,-0.11494,-3196488,-2762796,0.335,0.45474,-1.07623,-1.19577,CAD,,TRIP.CN,2024-02-21,647-204-7129,,1.694,-5.5,0.055,0.0002,0.88709676,-0.01,3,7.11,-0.22575001,416-869-0547,,,,,,,,,,,,,,,,,,,,,,,,,,,
222 â€“ 3rd Avenue S.W.,Suite 900,Calgary,AB,T2P 0B4,Canada,https://www.tidewatermidstream.com,Oil & Gas Midstream,oil-gas-midstream,Oil & Gas Midstream,Energy,energy,Energy,"Tidewater Midstream and Infrastructure Ltd. operates as a diversified midstream and infrastructure company in North America. The company primarily focuses on natural gas, natural gas liquids (NGLs), crude oil, refined products, and renewable space. It also engages in the sale of refined petroleum products, including gasoline, low sulphur diesel, and ancillary products, as well as renewable fuels and natural gas; gathering, processing, and transporting natural gas and NGLs; and NGL extraction and marketing. The company was incorporated in 2015 and is headquartered in Calgary, Canada.","{'maxAge': 1, 'name': 'Mr. Jeremy R. Baines', 'title': 'CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",,86400,4,0.84,0.85,0.84,0.85,0.84,0.85,0.84,0.85,101475,101475,395852,245060,245060,0.86,358764000,0.84,1.12,0.14847046,0.976,0.975825,CAD,1388563968,-0.0348,311774458,427100000,995971,1079166,1703808000,1706659200,0.06447,0.29501,1.46,431596000,1.51,1672444800,1703980800,1696032000,-84100000,-0.22,0.575,13.087,-0.22222221,0.25222528,TOR,EQUITY,TWM.TO,TWM.TO,TIDEWATER MIDSTREAM AND INFRAS ,Tidewater Midstream and Infrastructure Ltd.,1435671000,America/Toronto,EST,999349ff-ba9c-3372-97db-896d9fdccdcf,finmb_287432448,-18000000,0.84,buy,3600000,0.008,106100000,996899968,0.327,1.156,2416399872,5.691,0.011870001,-701635968,209400000,-0.183,0.077020004,0.043909997,-0.010650001,CAD,,TWM.TO,2024-02-21,587 475 0210,446,1.822,4.2,0.84,0.0023,0.5562914,0.2,1.9,146.581,-0.11735,587 475 0211,1.9,1.35,1.67,1.68,8,,,6,3,1,1,1,1706745600,,0.64,,,,0.04,0.0476,1695859200,2,0.04,0.04761905,0.01,1695859200,3.89
41 Hollinger Road,,Toronto,ON,M4B 3G4,Canada,https://www.theralase.com,Medical Devices,medical-devices,Medical Devices,Healthcare,healthcare,Healthcare,"Theralase Technologies Inc., a clinical stage pharmaceutical company, engages in the research and development of photo dynamic compounds (PDCs) and their associated drug formulations to treat cancers, bacteria, and viruses in Canada, the United States, and internationally. It also designs, develops, manufactures, and markets patented and proprietary super-pulsed laser technology for the healing of chronic knee pain, as well as for off-label use to heal various nerve, muscle, and joint conditions. In addition, the company develops TLD-1433, which is in Phase II for the treatment of Bacillus Calmette GuÃ©rin - Unresponsive Carcinoma In-Situ non-muscle invasive bladder cancer. Further, its product candidates include TLC-2000, a superpulsed and visible red laser technology accelerates healing by reducing pain and inflammation while staying below the Maximal Permissible Exposure limit for tissue, as well as related accessories. Additionally, it provides controller-less cool laser therapy systems comprising TLC-900, TLC-300, and TLC-100. The company has research agreements with the University of Manitoba Medical Microbiology department for the development of a coronavirus vaccine and therapy; and the National Microbiology Laboratory and Public Health Agency of Canada for the research and development of a Canadian-based SARS-CoV-2 vaccine. It sells its products to healthcare practitioners. The company was incorporated in 1989 and is based in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Kristina  Hachey CPA', 'title': 'CFO & Director', 'fiscalYear': 2022, 'totalPay': 260000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.21,0.195,0.195,0.2,0.21,0.195,0.195,0.2,47900,47900,98898,117690,117690,0.21,47025600,0.16,0.4,45.5557,0.1842,0.22825,CAD,48150900,,212192160,235128000,13033,56443,1703808000,1706659200,0.08038,2.00E-05,0.8,235128000,0.007,1672444800,1703980800,1696032000,-4463057,-0.02,46.646,-11.257,-0.44736844,0.25222528,VAN,EQUITY,TLT.V,TLT.V,THERALASE TECHNOLOGIES INC.,Theralase Technologies Inc.,1202913000,America/Toronto,EST,2dc6f770-7ab2-3ce3-90b4-fd865946fb6a,finmb_876154,-18000000,0.2,buy,235016,0.001,-4277326,409137,0.647,1.215,1032266,0.005,-0.70704,-1947725,-3928170,0.077,0.53012,,-3.6250901,CAD,,TLT.V,2024-02-21,416-699-5273,,1.69,-4,0.195,0.0004,28.571428,-0.05,2,25.072,-1.68791,416-699-5250,,,,,,,,,,,,,,,,,,,,,,,,,0.405,1230508800,
